image,WHERE_AFRICA,WHERE_ASIA,WHERE_AUSTRALIA_PACIFIC,WHERE_CENTRAL_AMERICA,WHERE_EUROPE,WHERE_MEDITERRANEAN_SEA,WHERE_MIDDLE_EAST,WHERE_NORTH_AMERICA,WHERE_SOUTH_AMERICA,INSPIRE_BAR,SETTINGS_BAR_NIGHTCLUB,SETTINGS_BEACH,SETTINGS_BIG_CITY,INSPIRE_BOATING,INSPIRE_BUNGEE_JUMPING,INSPIRE_CAMPING,INSPIRE_CANOEING,WEATHER_COLD,INSPIRE_CROSS_COUNTRY_SKIING,SETTINGS_CROWDED,SETTINGS_CRUISE_SHIP,INSPIRE_DANCING,SETTINGS_DESERT,INSPIRE_DINING,INSPIRE_DOWNHILL_MOUNTAIN_BIKING,INSPIRE_DOWNHILL_SKIING,INSPIRE_DRINKING_ALCOHOL,WEATHER_DRY,WEATHER_FOGGY,SETTINGS_FOREST,INSPIRE_GAMBLING_CASINO,SETTINGS_GARDEN,INSPIRE_GOING_TO_CONCERT,INSPIRE_GOING_PLAY,INSPIRE_GOING_TO_BALLET,INSPIRE_GOING_TO_OPERA,SETTINGS_GOLF_COURSE,INSPIRE_GOLFING,INSPIRE_HIKING,SETTINGS_HILLY,SETTINGS_HISTORIC_CITY,SETTINGS_HISTORIC_LANDMARK,INSPIRE_HORSEBACK_RIDING,WEATHER_HUMID,SETTINGS_HUT_CABANA,SETTINGS_ISLANDS,SETTINGS_JUNGLE,INSPIRE_KITE_SURFING,SETTINGS_LAKE,SETTINGS_LODGE_CABIN,SETTINGS_LUSH,SETTINGS_LUXURY_HOTEL_RESORT,WEATHER_MODERATE,SETTINGS_MODERN_CITY,SETTINGS_MONUMENT_STATUE,SETTINGS_MOUNTAIN,SETTINGS_MUSEUM,INSPIRE_NIGHT_CLUB,SETTINGS_OCEAN_SEA,WEATHER_OVERCAST,SETTINGS_PARK,SETTINGS_PLACE_OF_WORSHIP,SETTINGS_POOL,INSPIRE_POOL_PARTY,WEATHER_RAINY,INSPIRE_RELAXING,SETTINGS_RESTAURANT,SETTINGS_RIVER,INSPIRE_ROAD_TRAIL_BIKING,INSPIRE_ROCK_CLIMBING,SETTINGS_ROCKY,SETTINGS_RUINS,INSPIRE_SCUBA_DIVING,INSPIRE_SEA_KAYAKING,SETTINGS_SECLUDED,INSPIRE_SHOPPING,INSPIRE_SIGHTSEEING,SETTINGS_SKI_RESORT,INSPIRE_SKY_DIVING,SETTINGS_SMALL_HOTEL,SETTINGS_SMALL_TOWN_VILLAGE,INSPIRE_SNORKELING,INSPIRE_SNOWBOARDING,INSPIRE_SNOWSHOEING,WEATHER_SNOWY,SETTINGS_SPA,WEATHER_SUNNY,INSPIRE_SURFING,INSPIRE_SWIMMING,SETTINGS_TENT,SETTINGS_THEME_PARK,WEATHER_TROPICAL,SETTINGS_VINEYARDS,INSPIRE_VISIT_SPA,INSPIRE_VISIT_THEME_PARK,INSPIRE_WATCHING_MOVIE,SETTINGS_WATER_PARK,SETTINGS_WATERFALL,INSPIRE_WHITE_WATER_KAYKING,INSPIRE_WHITE_WATER_RAFTING,INSPIRE_WINDSURFING,WEATHER_WINDY,INSPIRE_ZIP_LINING,SETTINGS_ZOO_AQUARIUM

/images/0_CB054775.jpg,0.03998174,0.51976258,0.03998174,0.00000000,0.00000000,0.03998174,0.15992695,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.07996347,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04664536,0.00000000,0.00000000,0.00000000,0.00000000,0.03998174,0.03998174,0.00000000,0.03998174,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.41980824,0.00000000,0.00000000,0.00000000,0.03998174,0.03998174,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03998174,0.05597443,0.00000000,0.00000000,0.00000000,0.00000000,0.43979911,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03998174,0.00000000,0.39981737,0.03998174,0.00000000,0.00000000,0.00000000,0.35983563,0.00000000,0.03998174,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.11994521,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000

/images/0_71590564.jpg,0.07582732,0.07582732,0.00000000,0.05055155,0.17693041,0.17693041,0.05055155,0.12637886,0.15165464,0.00000000,0.07077216,0.35386082,0.20220618,0.32858505,0.00000000,0.00000000,0.17693041,0.00000000,0.00000000,0.00000000,0.10615825,0.12637886,0.00000000,0.07582732,0.00000000,0.02527577,0.10110309,0.02948840,0.03538608,0.00000000,0.05055155,0.03538608,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02527577,0.00000000,0.07077216,0.03538608,0.00000000,0.07582732,0.07077216,0.03538608,0.00000000,0.00000000,0.05055155,0.10615825,0.00000000,0.00000000,0.20641881,0.14744201,0.20220618,0.00000000,0.00000000,0.00000000,0.02527577,0.32437242,0.00000000,0.00000000,0.00000000,0.00000000,0.02527577,0.03538608,0.30330927,0.03538608,0.00000000,0.00000000,0.02527577,0.00000000,0.03538608,0.05055155,0.12637886,0.00000000,0.00000000,0.25275773,0.03538608,0.00000000,0.05897680,0.03538608,0.00000000,0.02527577,0.02527577,0.00000000,0.00000000,0.00000000,0.00000000,0.17693041,0.00000000,0.00000000,0.20641881,0.00000000,0.05055155,0.07582732,0.02527577,0.03538608,0.00000000,0.00000000,0.00000000,0.07582732,0.03538608,0.00000000,0.00000000

/images/0_56807790.jpg,0.04588180,0.41293625,0.04588180,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.21411509,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.18352722,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04588180,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.22940903,0.22940903,0.00000000,0.00000000,0.04588180,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.18352722,0.00000000,0.00000000,0.04588180,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.32117264,0.00000000,0.00000000,0.00000000,0.50469986,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.48175895,0.00000000,0.00000000,0.09176361,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04588180,0.00000000,0.00000000,0.00000000

/images/0_42-15454019.jpg,0.00000000,0.00000000,0.00000000,0.11516166,0.03838722,0.00000000,0.00000000,0.53742109,0.00000000,0.00000000,0.05374211,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.08957018,0.00000000,0.03838722,0.05374211,0.00000000,0.00000000,0.03838722,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.30709777,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.08957018,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03838722,0.03838722,0.42993687,0.15354888,0.19193610,0.00000000,0.15354888,0.03838722,0.00000000,0.00000000,0.11516166,0.00000000,0.05374211,0.00000000,0.00000000,0.00000000,0.05374211,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.49903387,0.00000000,0.00000000,0.00000000,0.03838722,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.13435527,0.00000000,0.00000000,0.00000000,0.00000000,0.10748422,0.00000000,0.03838722,0.04478509,0.03838722,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000

/images/0_157834496.jpg,0.00000000,0.43292194,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.12987658,0.00000000,0.00000000,0.00000000,0.00000000,0.05411524,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03607683,0.00000000,0.21646097,0.05411524,0.00000000,0.00000000,0.00000000,0.03092300,0.10823049,0.03092300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.40199895,0.32469146,0.00000000,0.05411524,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03607683,0.25253780,0.03607683,0.00000000,0.00000000,0.21646097,0.00000000,0.00000000,0.16234573,0.03607683,0.18553798,0.00000000,0.00000000,0.05411524,0.21646097,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.27830696,0.00000000,0.00000000,0.00000000,0.10823049,0.00000000,0.00000000,0.03607683,0.05411524,0.03607683,0.27830696,0.00000000,0.00000000,0.00000000,0.00000000,0.18038414,0.00000000,0.00000000,0.14430731,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.08658439,0.00000000,0.00000000
